{'#8': [33.3, 17.2, 34.4, 4.3, 7.5, 2.2, None, 1.1, None, None, None, None, None, None, None], '#3': 108, '#2': 'ALS', '#1': 'Intro to Agr & Applied Econ', '#7': 3.283, '#6': 93, '#5': '001', '#4': '215'}
{'#8': [27.4, 8.4, 28.4, 14.7, 13.7, 3.2, 2.1, 1.1, None, None, None, None, 1.1, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': 2.978, '#6': 95, '#5': '001', '#4': '100'}
{'#8': [27.3, 17.0, 18.2, 12.5, 21.6, None, 1.1, None, None, None, None, None, 1.1, None, 1.1], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': 3.047, '#6': 88, '#5': '002', '#4': '100'}
{'#8': [12.5, 15.4, 16.3, 18.3, 30.8, 1.9, 1.9, 1.0, None, None, None, None, None, 1.9, None], '#3': 156, '#2': 'L&S', '#1': 'Archaeology & Prehist World', '#7': 2.698, '#6': 104, '#5': '001', '#4': '102'}
{'#8': [42.6, 35.1, 13.1, 4.4, 2.2, 0.5, 1.0, 0.7, None, None, None, None, 0.2, 0.2, None], '#3': 156, '#2': 'L&S', '#1': 'Archaeology & Prehist World', '#7': 3.526, '#6': 413, '#5': '001', '#4': '104'}
{'#8': [45.9, 30.4, 13.2, 5.7, 2.9, 1.4, 0.5, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Archaeology & Prehist World', '#7': 3.511, '#6': 418, '#5': '002', '#4': '104'}
{'#8': [61.4, 19.1, 11.1, 3.0, 2.0, 0.7, 1.7, 1.0, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Principles - Biological Anthro', '#7': 3.617, '#6': 298, '#5': '001', '#4': '105'}
{'#8': [31.7, 14.6, 22.0, 9.8, 9.8, 7.3, None, 4.9, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Principles of Archaeology', '#7': 3.103, '#6': 41, '#5': '001', '#4': '212'}
{'#8': [29.2, 54.2, 12.5, None, None, None, None, None, None, None, None, None, None, 4.2, None], '#3': 156, '#2': 'L&S', '#1': 'Caribbean Music and Culture', '#7': 3.587, '#6': 24, '#5': '001', '#4': '237'}
{'#8': [64.3, None, 21.4, None, 7.1, None, None, None, None, None, None, None, None, 7.1, None], '#3': 156, '#2': 'L&S', '#1': 'Latin America-Introduction', '#7': 3.615, '#6': 14, '#5': '001', '#4': '260'}
{'#8': [13.6, 72.7, 13.6, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Africa: Introductory Survey', '#7': 3.5, '#6': 22, '#5': '001', '#4': '277'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Cult Anthro:Thry&Ethnogrphy', '#7': 4.0, '#6': 38, '#5': '001', '#4': '300'}
{'#8': [28.6, 42.9, None, 28.6, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intro Ling-Descript&Theoret', '#7': 3.357, '#6': 7, '#5': '001', '#4': '301'}
{'#8': [21.7, None, 39.1, None, 30.4, None, None, 8.7, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Hominoid Evolution', '#7': 2.905, '#6': 23, '#5': '001', '#4': '302'}
{'#8': [36.4, None, 9.1, None, 36.4, 9.1, 9.1, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Human Skeletal Anatomy', '#7': 2.545, '#6': 11, '#5': '001', '#4': '303'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Human Skeletal Anatomy', '#7': None, '#6': 5, '#5': '001', '#4': '310'}
{'#8': [91.7, 8.3, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Human Skeletal Anatomy', '#7': 3.958, '#6': 12, '#5': '002', '#4': '310'}
{'#8': [40.7, 25.9, 14.8, 14.8, None, None, None, 3.7, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'The Origins of Civilization', '#7': 3.481, '#6': 27, '#5': '001', '#4': '322'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'The Origins of Civilization', '#7': 4.0, '#6': 8, '#5': '001', '#4': '330'}
{'#8': [50.0, 35.7, None, None, None, None, None, None, None, None, None, None, 7.1, 7.1, None], '#3': 156, '#2': 'L&S', '#1': 'The Origins of Civilization', '#7': 3.8, '#6': 14, '#5': '002', '#4': '330'}
{'#8': [66.7, 16.7, None, None, None, None, 16.7, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'The Origins of Civilization', '#7': 3.125, '#6': 6, '#5': '004', '#4': '330'}
{'#8': [30.8, 23.1, 23.1, 15.4, None, None, 7.7, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology of Religion', '#7': 3.119, '#6': 13, '#5': '001', '#4': '343'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Elementary Quechua', '#7': None, '#6': 3, '#5': '001', '#4': '362'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Field Course in Archaeology', '#7': None, '#6': 1, '#5': '001', '#4': '370'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Second Semester Yucatec Maya', '#7': None, '#6': 1, '#5': '001', '#4': '377'}
{'#8': [53.3, 6.7, 33.3, None, 6.7, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Bones for the Archaeologist', '#7': 3.5, '#6': 15, '#5': '001', '#4': '391'}
{'#8': [37.5, 17.5, 25.0, 7.5, 2.5, 5.0, 5.0, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Evolutionary Biology', '#7': 3.15, '#6': 40, '#5': '001', '#4': '410'}
{'#8': [42.9, 38.1, 19.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology by Women', '#7': 3.619, '#6': 21, '#5': '001', '#4': '443'}
{'#8': [34.8, 13.0, 34.8, 4.3, None, None, 4.3, 4.3, None, None, None, None, 4.3, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology of Law', '#7': 3.286, '#6': 23, '#5': '001', '#4': '448'}
{'#8': [50.0, 8.3, 16.7, 16.7, 8.3, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology of Law', '#7': 3.375, '#6': 12, '#5': '001', '#4': '490'}
{'#8': [41.7, 25.0, 25.0, None, None, None, 8.3, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology of Law', '#7': 3.292, '#6': 12, '#5': '002', '#4': '490'}
{'#8': [85.7, None, 14.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Anthropology of Law', '#7': 3.857, '#6': 7, '#5': '003', '#4': '490'}
{'#8': [22.2, 33.3, 22.2, None, 22.2, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Problems in Anthropology', '#7': 3.155, '#6': 9, '#5': '001', '#4': '690'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Senior Thesis', '#7': None, '#6': 1, '#5': '091', '#4': '692'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Archaeologic Meth-Curation', '#7': 4.0, '#6': 11, '#5': '078', '#4': '696'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '027', '#4': '698'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '027', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '035', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': None, '#6': 1, '#5': '066', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': None, '#6': 3, '#5': '075', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': None, '#6': 3, '#5': '078', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': None, '#6': 1, '#5': '079', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'ANTHROPOLOGY', '#7': None, '#6': 1, '#5': '080', '#4': '699'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Fund Anthropological Theory', '#7': None, '#6': 4, '#5': '001', '#4': '900'}
{'#8': [83.3, None, None, None, None, None, None, 8.3, None, None, None, None, 8.3, None, None], '#3': 156, '#2': 'L&S', '#1': 'Global&Transnational Cultures', '#7': 4.0, '#6': 12, '#5': '001', '#4': '917'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Smr-Latin American Area', '#7': None, '#6': 1, '#5': '001', '#4': '982'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 5, '#5': '001', '#4': '983'}
{'#8': [None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 6, '#5': '027', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '028', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 1, '#5': '035', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 4, '#5': '044', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 1, '#5': '050', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '065', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '068', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '072', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 1, '#5': '075', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '079', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 2, '#5': '084', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Intdept Smr-African Studies', '#7': None, '#6': 1, '#5': '085', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '028', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 2, '#5': '044', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '051', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '065', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '072', '#4': '999'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 156, '#2': 'L&S', '#1': 'Research and Thesis', '#7': None, '#6': 1, '#5': '085', '#4': '999'}
{'#8': [40.5, 22.5, 11.7, 1.8, 2.7, 2.7, None, 17.1, None, None, None, None, 0.9, None, None], '#3': 180, '#2': 'L&S', '#1': 'History of Western Art II', '#7': 3.522, '#6': 111, '#5': '001', '#4': '202'}
{'#8': [35.1, 14.0, 7.0, 10.5, None, 5.3, 5.3, 22.8, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Survey-Photogrphy:1839-1989', '#7': 3.136, '#6': 57, '#5': '001', '#4': '206'}
{'#8': [34.1, 14.6, 4.9, None, 7.3, None, None, 29.3, None, None, None, None, None, None, 9.8], '#3': 180, '#2': 'L&S', '#1': 'The Ends of Modernism', '#7': 3.56, '#6': 41, '#5': '001', '#4': '227'}
{'#8': [47.1, 23.5, 5.9, None, None, None, None, 11.8, None, None, None, None, 5.9, 5.9, None], '#3': 180, '#2': 'L&S', '#1': 'Intro to Afro-American Art', '#7': 3.769, '#6': 17, '#5': '001', '#4': '242'}
{'#8': [40.0, 10.0, 10.0, None, 10.0, None, None, 30.0, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Greek Painting', '#7': 3.5, '#6': 10, '#5': '001', '#4': '301'}
{'#8': [39.0, 19.5, 17.1, 2.4, None, None, 9.8, 12.2, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Art & Archaeology-Ancient Rome', '#7': 3.208, '#6': 41, '#5': '001', '#4': '304'}
{'#8': [9.7, 16.1, 19.4, 12.9, None, None, None, 41.9, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Romanesque&Gothic Art&Architcr', '#7': 3.194, '#6': 31, '#5': '001', '#4': '318'}
{'#8': [23.1, 10.3, 2.6, 2.6, 2.6, 2.6, None, 56.4, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Renaissances and Reformations', '#7': 3.441, '#6': 39, '#5': '001', '#4': '360'}
{'#8': [30.6, 33.9, 19.4, 1.6, None, None, None, 9.7, None, None, None, None, 3.2, 1.6, None], '#3': 180, '#2': 'L&S', '#1': 'Arts of Japan', '#7': 3.547, '#6': 62, '#5': '001', '#4': '372'}
{'#8': [40.0, 30.0, 20.0, None, None, None, None, 10.0, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Visual Cultures of South Asia', '#7': 3.611, '#6': 10, '#5': '001', '#4': '428'}
{'#8': [47.2, 30.6, 8.3, None, None, None, None, 2.8, None, None, None, None, 11.1, None, None], '#3': 180, '#2': 'L&S', '#1': 'Topics in Visual Culture', '#7': 3.726, '#6': 36, '#5': '001', '#4': '430'}
{'#8': [72.7, 18.2, None, None, 9.1, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Frank Lloyd Wright', '#7': 3.727, '#6': 11, '#5': '001', '#4': '468'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Proseminar in Medieval Art', '#7': None, '#6': 2, '#5': '001', '#4': '515'}
{'#8': [60.0, 20.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Prosmr:Nrthrn European Paintng', '#7': 3.7, '#6': 10, '#5': '001', '#4': '535'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Prosmr:20th Cent European Art', '#7': None, '#6': 5, '#5': '001', '#4': '556'}
{'#8': [36.4, 18.2, 18.2, 9.1, 9.1, None, None, None, None, None, None, None, 9.1, None, None], '#3': 180, '#2': 'L&S', '#1': 'Proseminar in Material Culture', '#7': 3.35, '#6': 11, '#5': '001', '#4': '563'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Proseminar in African Art', '#7': None, '#6': 3, '#5': '001', '#4': '579'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Special Topics-Art History', '#7': None, '#6': 3, '#5': '001', '#4': '600'}
{'#8': [71.4, 21.4, None, None, None, None, None, 7.1, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Colloquium', '#7': 3.885, '#6': 14, '#5': '001', '#4': '603'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Senior Honors Thesis', '#7': None, '#6': 1, '#5': '022', '#4': '681'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Senior Honors Thesis', '#7': None, '#6': 2, '#5': '021', '#4': '682'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Senior Honors Thesis', '#7': None, '#6': 1, '#5': '022', '#4': '682'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '009', '#4': '697'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '041', '#4': '699'}
{'#8': [100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Topics: Architectural History', '#7': 4.0, '#6': 6, '#5': '001', '#4': '749'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '009', '#4': '797'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 2, '#5': '002', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '009', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 4, '#5': '014', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '018', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '022', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 2, '#5': '035', '#4': '799'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Curatorial Studies Internship', '#7': None, '#6': 1, '#5': '050', '#4': '799'}
{'#8': [77.8, 11.1, None, None, None, None, None, None, None, None, None, None, 11.1, None, None], '#3': 180, '#2': 'L&S', '#1': 'Smr:Spec Topics-Art History', '#7': 3.938, '#6': 9, '#5': '001', '#4': '800'}
{'#8': [36.4, 27.3, None, None, None, None, None, 18.2, None, None, None, None, 18.2, None, None], '#3': 180, '#2': 'L&S', '#1': 'Hist,Thry &Meth in Visual Cult', '#7': 3.786, '#6': 11, '#5': '001', '#4': '801'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar-Medieval Art', '#7': None, '#6': 4, '#5': '001', '#4': '815'}
{'#8': [71.4, 14.3, 14.3, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Smr-Northern European Art', '#7': 3.786, '#6': 7, '#5': '001', '#4': '835'}
{'#8': [44.4, 33.3, 11.1, None, None, None, None, None, None, None, None, None, 11.1, None, None], '#3': 180, '#2': 'L&S', '#1': 'Grad Smr-20th C Europn Art', '#7': 3.688, '#6': 9, '#5': '001', '#4': '856'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in Material Culture', '#7': None, '#6': 5, '#5': '001', '#4': '863'}
{'#8': [66.7, 16.7, None, None, None, None, None, 16.7, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': 3.9, '#6': 6, '#5': '001', '#4': '879'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 2, '#5': '002', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 1, '#5': '009', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 2, '#5': '010', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 2, '#5': '015', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 2, '#5': '018', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 2, '#5': '021', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 6, '#5': '029', '#4': '990'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 180, '#2': 'L&S', '#1': 'Seminar in African Art', '#7': None, '#6': 5, '#5': '035', '#4': '990'}
{'#8': [12.9, 19.4, 32.3, 9.7, 9.7, 6.5, 9.7, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Intro to Asian Amer Studies', '#7': 2.661, '#6': 31, '#5': '001', '#4': '101'}
{'#8': [77.8, 22.2, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Asian American Movement', '#7': 3.889, '#6': 9, '#5': '001', '#4': '121'}
{'#8': [40.5, 34.7, 15.7, 7.4, 0.8, None, 0.8, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Lit & Culture of Asian America', '#7': 3.508, '#6': 121, '#5': '001', '#4': '150'}
{'#8': [74.9, 15.3, 5.6, 0.9, 1.4, 0.5, 1.4, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'AsianAm His:Settlmnt&Belonging', '#7': 3.756, '#6': 215, '#5': '001', '#4': '161'}
{'#8': [47.1, 26.5, 2.9, 14.7, None, 5.9, None, 2.9, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Ethnic Movements in U.S.', '#7': 3.424, '#6': 34, '#5': '001', '#4': '220'}
{'#8': [77.8, 19.4, 2.8, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Ethnic Movements in U.S.', '#7': 3.875, '#6': 36, '#5': '001', '#4': '240'}
{'#8': [95.5, None, 4.5, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Ethnic Movements in U.S.', '#7': 3.955, '#6': 22, '#5': '002', '#4': '240'}
{'#8': [64.1, 30.8, 2.6, None, None, None, 2.6, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'SE Asian Refugees of Cold War', '#7': 3.718, '#6': 39, '#5': '001', '#4': '246'}
{'#8': [21.4, 50.0, 28.6, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 184, '#2': 'L&S', '#1': 'Chinese Migrations since 1500', '#7': 3.464, '#6': 14, '#5': '001', '#4': '276'}
{'#8': [20.0, 21.2, 41.8, 9.4, 2.4, 1.2, 0.6, 3.5, None, None, None, None, None, None, None], '#3': 188, '#2': 'L&S', '#1': 'The Evolving Universe', '#7': 3.201, '#6': 170, '#5': '001', '#4': '103'}
{'#8': [20.2, 14.5, 29.0, 12.9, 12.9, 3.2, 0.8, 5.6, None, None, None, None, None, 0.8, None], '#3': 188, '#2': 'L&S', '#1': 'Exploration of Solar System', '#7': 2.991, '#6': 124, '#5': '001', '#4': '104'}
{'#8': [14.3, 21.4, 35.7, 7.1, None, 7.1, None, 7.1, None, None, None, None, None, None, 7.1], '#3': 188, '#2': 'L&S', '#1': 'Topics in Astronomy', '#7': 3.083, '#6': 14, '#5': '001', '#4': '150'}
{'#8': [26.6, 16.1, 20.2, 10.5, 16.9, 0.8, None, 1.6, None, None, None, None, None, None, 7.3], '#3': 188, '#2': 'L&S', '#1': 'Life in the Universe', '#7': 3.119, '#6': 124, '#5': '001', '#4': '160'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 188, '#2': 'L&S', '#1': 'Directed Study', '#7': None, '#6': 1, '#5': '004', '#4': '199'}
{'#8': [68.0, 28.0, 4.0, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 188, '#2': 'L&S', '#1': 'Cosmology', '#7': 3.82, '#6': 25, '#5': '001', '#4': '335'}
{'#8': [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None], '#3': 188, '#2': 'L&S', '#1': 'Astrodynamics', '#7': None, '#6': 3, '#5': '001', '#4': '550'}
