630 001	10	3.944	80.0 10.0 ....	.	.	.	.	.	.		10.0	.	..
630 002	11	4.000	90.9 .....	.	.	.	.	.	.		9.1	.	..
630 003	4	***					.	.	.		.	.	..
Proseminar: Cultures of Asia Course Total	25	3.978	88.0 4.0 .  .  .  .	.	.	.	.	.		.	8.0	.	.  .
Studies in Chinese Linguistics 632 001	6	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
History-Chinese Literature 641 001	12	4.000	100.0 .....	.	.	.	.	.	.		.	.	..
Directed Study 698 017	1	***					.	.	.		.	.	..
699 003	3	***					.	.	.		.	.	..
699 008	2	***					.	.	.		.	.	..
699 009	1	***					.	.	.		.	.	..
699 011	1	***					.	.	.		.	.	..
699 012	1	***					.	.	.		.	.	..
699 014	1	***					.	.	.		.	.	..
699 017	1	***					.	.	.		.	.	..
699 018	1	***					.	.	.		.	.	..
699 019	1	***					.	.	.		.	.	..
699 020	2	***					.	.	.		.	.	..
August 24, 2020													Page 182 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
ASIAN LANGUAGES AND CULTU Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
185 ASIAN Grades		GPA												
Directed Study Course Total 14		3.959	92.9 7.1 .  .  .  .	.		.	.	.	.	.			.  .	.  .
Prosem-Chinese Literature 701 001 9		4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Japanese Applied Linguistics 775 001 5		***						.	.	.		.	.	..
Reading for Research 799 008 1		***						.	.	.		.	.	..
Smr:Interdis Approachs to Asia 815 001 2		***						.	.	.		.	.	..
Topics-E Asian Visual Cultures 833 001 4		***						.	.	.		.	.	..
Smr-Chinese Literature 951 001 8		4.000	62.5 .....	.		.	.	.	.	.		37.5	.	..
990 007 1		***						.	.	.		.	.	..
990 008 3		***						.	.	.		.	.	..
990 009 2		***						.	.	.		.	.	..
990 012 2		***						.	.	.		.	.	..
990 015 6			......	.		100.0	.	.	.	.		.	.	..
990 017 1		***						.	.	.		.	.	..
990 018 1		***						.	.	.		.	.	..
990 019 1		***						.	.	.		.	.	..
Thesis Research Course Total 17			.  .  .  .  .  .	.		88.2	.	.	.	11.8			.  .	.  .
185 ASIAN Dept. Total 608		3.829	68.3 13.3 3.8 0.5 0.5 .	0.7		9.7	0.8	0.2	.	0.3		1.3	0.5	0.2 .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA185 ASIANGrades														
Freshmen 21		3.851	76.2 19.0 4.8 .  .  .	.		.	.	.	.	.			.  .	.  .
Sophomore 102		3.927	81.4 9.8 2.0 .  .  .	.		5.9	1.0	.	.	.			.  .	.  .
Junior 166		3.740	60.8 18.1 6.0 1.2 0.6 .	1.2		8.4	2.4	.	.	.		0.6	0.6	.  .
Senior 210		3.787	69.0 17.1 4.8 0.5 1.0 .	1.0		6.2	.	.	.	.		0.5	.	.  .
Undergraduates 499		3.805	69.1 16.0 4.6 0.6 0.6 .	0.8		6.6	1.0	.	.	.		0.4	0.2	.  .
Special 19		4.000	26.3 .  .  .  .  .	.		57.9	.	.	.	.			.  10.5	5.3 .
Graduate 90		3.992	72.2 1.1 .  .  .  .	.		16.7	.	1.1	.	2.2		6.7	.	.  .
Dept. Total 608		3.829	68.3 13.3 3.8 0.5 0.5 .	0.7		9.7	0.8	0.2	.	0.3		1.3	0.5	0.2 .
August 24, 2020														Page 183 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
ASIAN LANG & CULTURE: LANG Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
186 ASIALANG Grades		GPA												
102 001	7	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
102 002	10	3.750	80.0 .10.0 10.0 ..	.		.	.	.	.	.		.	.	..
102 003	13	3.818	61.5 15.4 7.7 ...	.		15.4	.	.	.	.		.	.	..
102 004	17	3.938	82.4 11.8 ....	.		.	5.9	.	.	.		.	.	..
102 005	13	3.923	84.6 15.4 ....	.		.	.	.	.	.		.	.	..
Second Semester Chinese Course Total	60	3.886	80.0 10.0 3.3 1.7 .  .		.	3.3	1.7	.	.		.		.  .	.  .
104 001	16	3.500	50.0 6.3 31.3 .6.3 .	.		6.3	.	.	.	.		.	.	..
104 002	21	3.694	61.9 9.5 4.8 4.8 4.8 .	.		9.5	4.8	.	.	.		.	.	..
104 003	22	3.825	63.6 22.7 4.5 ...	.		4.5	4.5	.	.	.		.	.	..
104 004	20	3.750	65.0 25.0 5.0 5.0 ..	.		.	.	.	.	.		.	.	..
104 005	18	3.733	44.4 33.3 5.6 ...	.		16.7	.	.	.	.		.	.	..
104 006	19	3.824	63.2 21.1 5.3 ...	.		.	5.3	.	.	.		5.3	.	..
104 007	17	3.735	82.4 5.9 5.9 ..5.9	.		.	.	.	.	.		.	.	..
Second Semester Japanese Course Total	133	3.730	61.7 18.0 8.3 1.5 1.5 0.8		.	5.3	2.3	.	.		.	0.8	.	.  .
Second Semester Korean 106 001	58	3.852	79.3 6.9 5.2 ..1.7	.		6.9	.	.	.	.		.	.	..
110 001	10	3.900	80.0 20.0 ....	.		.	.	.	.	.		.	.	..
110 002	12	4.000	91.7 .....	.		.	8.3	.	.	.		.	.	..
Elementary Chinese I Course Total	22	3.952	86.4 9.1 .  .  .  .		.	.	4.5	.	.		.		.  .	.  .
113 001	22	4.000	95.5 .....	.		.	.	.	.	.		4.5	.	..
113 002	22	4.000	95.5 .....	.		4.5	.	.	.	.		.	.	..
113 003	19	3.972	89.5 5.3 ....	.		5.3	.	.	.	.		.	.	..
First Semester Elem Japanese Course Total	63	3.992	93.7 1.6 .  .  .  .		.	3.2	.	.	.		.	1.6	.	.  .
Second Semester Asian Language 122 001	1	***						.	.	.		.	.	..
Second Semester Filipino 124 001	4	***						.	.	.		.	.	..
Second Semester Hmong 126 001	16	3.906	81.3 18.8 ....	.		.	.	.	.	.		.	.	..
Second Semester Indonesian 128 001	2	***						.	.	.		.	.	..
Second Semester Thai 130 001	4	***						.	.	.		.	.	..
Second Semester Vietnamese 132 001	7	4.000	85.7 .....	.		14.3	.	.	.	.		.	.	..
Second Semester Hindi 134 001	2	***						.	.	.		.	.	..
Second Semester Modern Tibetan 136 001	5	***						.	.	.		.	.	..
Second Semester Persian 138 001	5	***						.	.	.		.	.	..
Second Semester Urdu 140 001	3	***						.	.	.		.	.	..
202 001	19	3.882	78.9 5.3 .5.3 ..	.		.	5.3	.	.	.		.	.	5.3 .
202 002	15	3.933	86.7 13.3 ....	.		.	.	.	.	.		.	.	..
202 003	17	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Fourth Semester Chinese Course Total	51	3.939	88.2 5.9 .  2.0 .  .		.	.	2.0	.	.		.		.  .	2.0 .
204 002	10	3.444	40.0 40.0 ...10.0	.		10.0	.	.	.	.		.	.	..
204 003	12	3.800	58.3 16.7 8.3 ...	.		16.7	.	.	.	.		.	.	..
Fourth Semester Japanese Course Total	22	3.632	50.0 27.3 4.5 .  .  4.5		.	13.6	.	.	.		.		.  .	.  .
Fourth Semester Korean 206 001	11	3.500	27.3 45.5 27.3 ...	.		.	.	.	.	.		.	.	..
Fourth Semester Filipino 224 001	1	***						.	.	.		.	.	..
August 24, 2020														Page 184 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
ASIAN LANG & CULTURE: LANG Section	"#"	Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
186 ASIALANG Grades		GPA												
Fourth Semester Hmong 226 001	10	3.700	70.0 20.0 ..10.0 .	.		.	.	.	.	.		.	.	..
Fourth Semester Indonesian 228 001	1	***						.	.	.		.	.	..
Fourth Semester Thai 230 001	2	***						.	.	.		.	.	..
Fourth Semester Vietnamese 232 001	2	***						.	.	.		.	.	..
Fourth Semester Hindi 234 001	3	***						.	.	.		.	.	..
Fourth Semester Modern Tibetan 236 001	1	***						.	.	.		.	.	..
Fourth Semester Persian 238 001	3	***						.	.	.		.	.	..
Fourth Semester Urdu 240 001	2	***						.	.	.		.	.	..
302 001	15	4.000	86.7 .....	.		13.3	.	.	.	.		.	.	..
302 002	6	3.500	50.0 .16.7 16.7 ..	.		16.7	.	.	.	.		.	.	..
Sixth Semester Chinese Course Total	21	3.861	76.2 .  4.8 4.8 .  .		.	14.3	.	.	.		.		.  .	.  .
Sixth Semester Korean 306 001	11	3.682	72.7 .18.2 9.1 ..	.		.	.	.	.	.		.	.	..
2nd Semester Classical Chinese 312 001	9	3.889	77.8 22.2 ....	.		.	.	.	.	.		.	.	..
2nd Semester Classical Chinese 316 001	24	4.000	100.0 .....	.		.	.	.	.	.		.	.	..
Sixth Semester Hmong 326 001	6	3.833	83.3 .16.7 ...	.		.	.	.	.	.		.	.	..
Sixth Semester Indonesian 328 001	1	***						.	.	.		.	.	..
Sixth Semester Thai 330 001	2	***						.	.	.		.	.	..
332 001	3	***						.	.	.		.	.	..
332 002	1	***						.	.	.		.	.	..
Sixth Semester Vietnamese Course Total	4	***												
Sixth Semester Hindi 334 001	1	***						.	.	.		.	.	..
Sixth Semester Urdu 340 001	3	***						.	.	.		.	.	..
356 002	1	***						.	.	.		.	.	..
356 005	2	***						.	.	.		.	.	..
356 006	2	***						.	.	.		.	.	..
356 009	2	***						.	.	.		.	.	..
356 011	1	***						.	.	.		.	.	..
356 014	1	***						.	.	.		.	.	..
356 015	1	***						.	.	.		.	.	..
356 016	1	***						.	.	.		.	.	..
356 018	1	***						.	.	.		.	.	..
356 021	1	***						.	.	.		.	.	..
Second Semester Asian Course Total	13	3.923	84.6 15.4 .  .  .  .		.	.	.	.	.		.		.  .	.  .
358 003	1	***						.	.	.		.	.	..
358 005	2	***						.	.	.		.	.	..
358 006	1	***						.	.	.		.	.	..
358 011	1	***						.	.	.		.	.	..
358 012	2	***						.	.	.		.	.	..
358 013	1	***						.	.	.		.	.	..
358 014	1	***						.	.	.		.	.	..
Fourth Semester Asian Language Course Total	9	3.833	77.8 11.1 11.1 .  .  .		.	.	.	.	.		.		.  .	.  .
August 24, 2020														Page 185 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
ASIAN LANG & CULTURE: LANG Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
186 ASIALANG Grades		GPA												
Advanced Readings Japanese I 373 002 16		3.615	43.8 18.8 12.5 6.3 ..	.		12.5	6.3	.	.	.		.	.	..
Advanced Readings in Chinese I 374 001 12		3.833	75.0 16.7 8.3 ...	.		.	.	.	.	.		.	.	..
Bus Japanese Communication 377 001 19		3.947	94.7 .5.3 ...	.		.	.	.	.	.		.	.	..
Business Chinese 379 001 20		3.853	65.0 15.0 5.0 ...	.		10.0	.	.	.	.		.	.	5.0 .
Eighth Semester Korean 406 001 7		4.000	100.0 .....	.		.	.	.	.	.		.	.	..
422 001 1		***						.	.	.		.	.	..
422 003 1		***						.	.	.		.	.	..
8th Semester Asian Language Course Total 2		***												
475 001 17		4.000	100.0 .....	.		.	.	.	.	.		.	.	..
475 002 12		3.958	91.7 8.3 ....	.		.	.	.	.	.		.	.	..
Advanced Topics in Asian Trans Course Total 29		3.983	96.6 3.4 .  .  .  .		.	.	.	.	.	.			.  .	.  .
Advanced Readings in Sanskrit 675 001 1		***						.	.	.		.	.	..
186 ASIALANG Dept. Total 704		3.850	77.6 10.5 4.3 1.0 0.4 0.4		.	4.1	1.1	.	.	.		0.3	.	0.3 .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA186 ASIALANGGrades														
Freshmen 39		3.716	71.8 12.8 .  .  5.1 2.6		.	7.7	.	.	.	.			.  .	.  .
Sophomore 170		3.858	77.6 9.4 4.7 1.2 0.6 .		.	4.1	1.8	.	.	.		0.6	.	.  .
Junior 188		3.804	73.4 12.8 6.9 1.1 .  1.1		.	3.2	1.1	.	.	.		0.5	.	.  .
Senior 242		3.901	82.2 8.7 2.9 0.8 .  .		.	4.5	0.8	.	.	.			.  .	.  .
Undergraduates 639		3.848	77.8 10.3 4.4 0.9 0.5 0.5		.	4.2	1.1	.	.	.		0.3	.	.  .
Special 20		3.718	55.0 20.0 5.0 5.0 .  .		.	5.0	.	.	.	.			.  .	10.0 .
Graduate 41		3.931	85.4 7.3 2.4 .  .  .		.	2.4	2.4	.	.	.			.  .	.  .
Prof Yr 2 2		***						.	.	.			.  .	.  .
Prof Yr 3 2		***						.	.	.			.  .	.  .
Professionals 4		***						.	.	.			.  .	.  .
Dept. Total 704		3.850	77.6 10.5 4.3 1.0 0.4 0.4		.	4.1	1.1	.	.	.		0.3	.	0.3 .
August 24, 2020														Page 186 of 447
* Please note: This report does not combine crosslisted courses														
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.														
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"														
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
ASTRONOMY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
188 ASTRON Grades		GPA											
103 001	115	3.870	81.7 6.1 3.5 0.9 0.9 0.9	.	1.7	.	.	.	.		.	.	4.3 .
103 002	267	3.874	76.8 10.1 2.6 0.7 .0.4	0.4	2.2	1.9	.	.	.		.	.	4.9 .
The Evolving Universe Course Total	382	3.873	78.3 8.9 2.9 0.8 0.3 0.5	0.3	2.1	1.3	.	.		.		.  .	4.7 .
Exploration of Solar System 104 001	111	3.326	28.8 18.0 22.5 5.4 2.7 1.8	0.9	16.2	3.6	.	.	.		.	.	..
The Exoplanet Revolution 140 001	43	3.729	55.8 11.6 11.6 .2.3 .	.	16.3	.	.	.	.		.	.	2.3 .
Life in the Universe 160 001	125	3.263	17.6 20.0 11.2 5.6 4.0 2.4	.	33.6	4.8	.	.	.		.	0.8	..
The Physical Universe 200 001	37	3.613	45.9 27.0 8.1 ...	2.7	16.2	.	.	.	.		.	.	..
Cosmology 335 001	40	3.266	27.5 12.5 30.0 5.0 2.5 .	2.5	12.5	.	.	.	.		7.5	.	..
Astrodynamics 550 001	1	***					.	.	.		.	.	..
682 001	1	***					.	.	.		.	.	..
682 006	1	***					.	.	.		.	.	..
682 012	1	***					.	.	.		.	.	..
Senior Honors Thesis Course Total	3	***											
692 001	3	***					.	.	.		.	.	..
692 016	1	***					.	.	.		.	.	..
692 017	1	***					.	.	.		.	.	..
Senior Thesis Course Total	5	***											
699 001	2	***					.	.	.		.	.	..
699 004	1	***					.	.	.		.	.	..
699 008	1	***					.	.	.		.	.	..
699 010	1	***					.	.	.		.	.	..
699 013	1	***					.	.	.		.	.	..
699 014	1	***					.	.	.		.	.	..
699 021	1	***					.	.	.		.	.	..
699 026	2	***					.	.	.		.	.	..
699 027	1	***					.	.	.		.	.	..
Directed Study Course Total	11	3.870	72.7 9.1 9.1 .  .  .	.	.	.	.	.		.		.  .	9.1 .
Basic Astrophysics II 702 001	8	3.688	50.0 37.5 12.5 ...	.	.	.	.	.	.		.	.	..
Interstellar Med I-Basic Procs 720 001	13	3.846	76.9 15.4 7.7 ...	.	.	.	.	.	.		.	.	..
Seminar in Astrophysics 910 001	16	4.000	93.8 .....	.	6.3	.	.	.	.		.	.	..
990 001	2	***					.	.	.		.	.	..
990 002	2	***					.	.	.		.	.	..
990 006	2	***					.	.	.		.	.	..
990 007	3	***					.	.	.		.	.	..
990 008	3	***					.	.	.		.	.	..
990 010	2	***					.	.	.		.	.	..
990 012	1	***					.	.	.		.	.	..
990 013	2	***					.	.	.		.	.	..
990 014	2	***					.	.	.		.	.	..
990 015	1	***					.	.	.		.	.	..
990 018	1	***					.	.	.		.	.	..
990 020	1	***					.	.	.		.	.	..
August 24, 2020													Page 187 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
ASTRONOMY Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
188 ASTRON Grades		GPA											
Research and Thesis Course Total 22			.  .  .  .  .  .	.		72.7	.	.	.	27.3		.  .	.  .
188 ASTRON Dept. Total 817		3.693	55.1 12.9 9.1 2.2 1.3 0.9	0.5		12.6	1.8	.	.	0.7	0.4	0.1	2.4 .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA188 ASTRONGrades													
Freshmen 120		3.703	55.0 16.7 10.8 0.8 3.3 .	.		10.0	3.3	.	.	.		.  .	.  .
Sophomore 301		3.756	64.1 10.0 8.0 2.7 0.7 1.0	0.3		10.3	2.7	.	.	.		.  0.3	.  .
Junior 126		3.743	62.7 13.5 8.7 1.6 0.8 1.6	.		9.5	0.8	.	.	.	0.8	.	.  .
Senior 173		3.519	47.4 18.5 13.9 4.0 2.3 1.2	1.7		8.1	1.2	.	.	.	1.2	.	0.6 .
Undergraduates 720		3.688	58.3 13.8 10.0 2.5 1.5 1.0	0.6		9.6	2.1	.	.	.	0.4	0.1	0.1 .
Special 40		4.000	7.5 .  .  .  .  .	.		45.0	.	.	.	.		.  .	47.5 .
Graduate 59		3.813	49.2 10.2 3.4 .  .  .	.		27.1	.	.	.	10.2		.  .	.  .
Dept. Total 819		3.693	55.2 12.8 9.0 2.2 1.3 0.9	0.5		12.6	1.8	.	.	0.7	0.4	0.1	2.4 .
August 24, 2020													Page 188 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades									Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison										
""			(Non-Cross Listed)										
L&S													
BIOLOGY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P		I	NW	NR Other
205 BIOLOGY Grades		GPA											
101 001	107	3.163	25.2 17.8 13.1 6.5 7.5 2.8	1.9	20.6	4.7	.	.	.		.	.	..
101 002	218	3.160	24.3 10.1 21.6 4.1 5.5 3.2	1.4	21.1	8.7	.	.	.		.	.	..
Animal Biology Course Total	325	3.161	24.6 12.6 18.8 4.9 6.2 3.1	1.5	20.9	7.4	.	.		.		.  .	.  .
102 001	10	3.714	50.0 10.0 .10.0 ..	.	30.0	.	.	.	.		.	.	..
102 002	8	3.500	25.0 25.0 25.0 ...	.	25.0	.	.	.	.		.	.	..
102 003	8	3.500	37.5 12.5 37.5 ...	.	12.5	.	.	.	.		.	.	..
102 004	10	3.778	60.0 20.0 10.0 ...	.	.	10.0	.	.	.		.	.	..
102 005	9	3.722	44.4 55.6 ....	.	.	.	.	.	.		.	.	..
102 006	12	3.455	25.0 33.3 33.3 ...	.	8.3	.	.	.	.		.	.	..
102 007	9	3.444	44.4 22.2 22.2 .11.1 .	.	.	.	.	.	.		.	.	..
102 008	7	3.500	42.9 14.3 42.9 ...	.	.	.	.	.	.		.	.	..
102 009	10	3.438	30.0 10.0 40.0 ...	.	20.0	.	.	.	.		.	.	..
102 010	9	3.375	11.1 44.4 33.3 ...	.	11.1	.	.	.	.		.	.	..
102 011	9	3.500	22.2 44.4 22.2 ...	.	11.1	.	.	.	.		.	.	..
102 012	10	3.625	50.0 .30.0 ...	.	10.0	10.0	.	.	.		.	.	..
102 013	12	3.500	33.3 8.3 16.7 8.3 ..	.	33.3	.	.	.	.		.	.	..
102 014	10	3.556	50.0 10.0 20.0 10.0 ..	.	10.0	.	.	.	.		.	.	..
102 015	8	3.938	87.5 12.5 ....	.	.	.	.	.	.		.	.	..
102 016	10	3.722	50.0 30.0 10.0 ...	.	10.0	.	.	.	.		.	.	..
102 017	10	3.333	30.0 20.0 30.0 .10.0 .	.	10.0	.	.	.	.		.	.	..
102 018	11	3.688	36.4 27.3 9.1 ...	.	9.1	18.2	.	.	.		.	.	..
102 019	13	3.769	69.2 15.4 15.4 ...	.	.	.	.	.	.		.	.	..
102 020	10	3.350	40.0 10.0 40.0 .10.0 .	.	.	.	.	.	.		.	.	..
Animal Biology Laboratory Course Total	195	3.573	42.1 21.0 21.5 1.5 1.5 .	.	10.3	2.1	.	.		.		.  .	.  .
General Botany 130 001	14	3.423	50.0 7.1 21.4 .14.3 .	.	7.1	.	.	.	.		.	.	..
Introductory Biology 151 001	291	3.189	20.3 6.9 37.8 2.1 6.9 0.3	0.3	22.7	2.4	.	.	.		.	0.3	..
152 001	211	3.559	45.0 15.2 24.6 2.4 0.9 0.5	.	8.5	2.4	.	.	.		0.5	.	..
152 002	219	3.612	51.6 13.7 26.9 0.5 0.9 .	.	6.4	.	.	.	.		.	.	..
152 003	16	3.594	50.0 18.8 31.3 ...	.	.	.	.	.	.		.	.	..
152 004	13	3.727	61.5 .23.1 ...	.	15.4	.	.	.	.		.	.	..
152 005	15	3.786	60.0 26.7 6.7 ...	.	6.7	.	.	.	.		.	.	..
152 006	17	3.824	76.5 11.8 11.8 ...	.	.	.	.	.	.		.	.	..
152 007	14	3.792	57.1 21.4 7.1 ...	.	14.3	.	.	.	.		.	.	..
152 008	16	3.667	50.0 25.0 18.8 ...	.	6.3	.	.	.	.		.	.	..
152 009	18	3.706	55.6 22.2 16.7 ...	.	5.6	.	.	.	.		.	.	..
152 010	17	3.706	58.8 23.5 17.6 ...	.	.	.	.	.	.		.	.	..
152 011	18	3.588	38.9 33.3 22.2 ...	.	5.6	.	.	.	.		.	.	..
Introductory Biology Course Total	574	3.617	50.3 16.0 23.7 1.0 0.7 0.2	.	7.0	0.9	.	.		.	0.2	.	.  .
Evolution Seminar Series UG 522 001	11	3.864	72.7 27.3 ....	.	.	.	.	.	.		.	.	..
682 001	1	***					.	.	.		.	.	..
682 002	1	***					.	.	.		.	.	..
Senior Honors Thesis Course Total	2	***											
August 24, 2020													Page 189 of 447
* Please note: This report does not combine crosslisted courses													
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.													
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"													
TERM : 1204			Percentage Distribution of Grades								Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison									
""			(Non-Cross Listed)									
L&S												
BIOLOGY Section	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
205 BIOLOGY	Grades	GPA										
Senior Thesis 692 001	1	***					.	.	.	.	.	..
205 BIOLOGY Dept. Total	1413	3.451	37.4 14.0 24.9 2.2 3.5 0.8	0.4	13.8	2.8	.	.	.	0.1	0.1	.  .
Summary by Level	"#"	Ave	A AB B BC C D	F	S/SD	U/UD	CR	N	P	I	NW	NR Other
GPA205 BIOLOGY	Grades											
Freshmen	144	2.944	20.1 8.3 20.1 6.3 6.9 4.2	2.1	23.6	7.6	.	.	.		.  0.7	.  .
Sophomore	622	3.346	29.9 14.1 30.4 2.1 5.0 0.6	.	15.6	2.1	.	.	.	0.2	.	.  .
Junior	531	3.598	46.9 15.8 21.7 1.3 1.3 .	0.4	10.2	2.4	.	.	.		.  .	.  .
Senior	110	3.642	56.4 11.8 14.5 1.8 0.9 1.8	0.9	9.1	2.7	.	.	.		.  .	.  .
Undergraduates	1407	3.451	37.4 14.0 24.8 2.2 3.5 0.9	0.4	13.9	2.8	.	.	.	0.1	0.1	.  .
Special	6	3.442	33.3 16.7 50.0 .  .  .	.	.	.	.	.	.		.  .	.  .
Dept. Total	1413	3.451	37.4 14.0 24.9 2.2 3.5 0.8	0.4	13.8	2.8	.	.	.	0.1	0.1	.  .
August 24, 2020												Page 190 of 447
* Please note: This report does not combine crosslisted courses												
** Please note: In order to protect student privacy, grade distributions for groups of five or fewer students have been redacted.												
"*** S/SD and U/UD: In Spring 2020 two new letter grades were created: SD (Satisfactory-Disruption) and UD (Unsatisfactory-Disruption). These new grades are combined with “S” and ""U” on this report"												
TERM : 1204			Percentage Distribution of Grades										Office of the Registrar	
Spring 2019-2020			University of Wisconsin - Madison											
""			(Non-Cross Listed)											
L&S														
BIOLOGY CORE CURRICULUM Section #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
206 BIOCORE Grades		GPA												
Cellular Biology 383 001 86		3.669	51.2 12.8 22.1 ...	.		11.6	2.3	.	.	.		.	.	..
384 001 20		3.500	35.0 30.0 35.0 ...	.		.	.	.	.	.		.	.	..
384 002 18		3.647	55.6 11.1 27.8 ...	.		.	5.6	.	.	.		.	.	..
384 003 22		3.614	54.5 13.6 31.8 ...	.		.	.	.	.	.		.	.	..
384 005 13		3.727	53.8 15.4 15.4 ...	.		15.4	.	.	.	.		.	.	..
Cellular Biology Laboratory Course Total 73		3.607	49.3 17.8 28.8 .  .  .		.	2.7	1.4	.	.	.			.  .	.  .
Biological Interactions 587 001 71		3.565	39.4 19.7 28.2 ...	.		11.3	1.4	.	.	.		.	.	..
206 BIOCORE Dept. Total 230		3.618	47.0 16.5 26.1 .  .  .		.	8.7	1.7	.	.	.			.  .	.  .
Summary by Level #		Ave	A AB B BC C D	F		S/SD	U/UD	CR	N	P		I	NW	NR Other
GPA206 BIOCOREGrades														
Sophomore 6		3.800	50.0 .  16.7 .  .  .		.	33.3	.	.	.	.			.  .	.  .
Junior 121		3.585	42.1 19.0 27.3 .  .  .		.	9.1	2.5	.	.	.			.  .	.  .
Senior 103		3.644	52.4 14.6 25.2 .  .  .		.	6.8	1.0	.	.	.			.  .	.  .
Undergraduates 230		3.618	47.0 16.5 26.1 .  .  .		.	8.7	1.7	.	.	.			.  .	.  .
Dept. Total 230		3.618	47.0 16.5 26.1 .  .  .		.	8.7	1.7	.	.	.			.  .	.  .
